Gm#,Date,Tm,Home/Road,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Season,Time_minutes
34,"Sunday, May 9",HOU,vs,TOR,W,7,4,9.0,18-16,2,2.0,Abreu,Pearson,Pressly,3:30,D,24355,1.10,+,2021,210
35,"Monday, May 10",HOU,vs,LAA,L,4,5,9.0,18-17,2,2.5,Suarez,Bielak,Iglesias,3:57,N,13695,1.20,-,2021,237
36,"Tuesday, May 11",HOU,vs,LAA,W,5,1,9.0,19-17,2,2.5,McCullers,Slegers,,2:33,N,17350,1.18,+,2021,153
37,"Wednesday, May 12",HOU,vs,LAA,W,9,1,9.0,20-17,2,2.5,Bielak,Heaney,,2:52,N,13668,1.21,++,2021,172
38,"Thursday, May 13",HOU,vs,TEX,W*,4,3,11.0,21-17,2,1.5,Raley,Martin,,3:44,N,16340,1.29,+++,2021,224
39,"Friday, May 14",HOU,vs,TEX,W,10,4,9.0,22-17,2,1.5,Greinke,Benjamin,,3:01,N,24495,1.29,++++,2021,181
40,"Saturday, May 15",HOU,vs,TEX,W,6,5,9.0,23-17,2,0.5,Garcia,Dunning,Pressly,3:26,N,25858,1.31,+++++,2021,206
41,"Sunday, May 16",HOU,vs,TEX,W,6,2,9.0,24-17,2,0.5,Raley,Rodríguez,,3:03,D,26069,1.38,++++++,2021,183
42,"Tuesday, May 18",HOU,@,OAK,L*,5,6,9.0,24-18,2,1.5,Petit,Abreu,,3:09,N,4838,1.57,-,2021,189
43,"Wednesday, May 19",HOU,@,OAK,W,8,1,9.0,25-18,2,0.5,Greinke,Montas,,3:18,N,3925,1.60,+,2021,198
44,"Thursday, May 20",HOU,@,OAK,W,8,4,9.0,26-18,1,+ 0.5,Garcia,Irvin,,3:26,D,4562,1.70,++,2021,206
45,"Friday, May 21",HOU,@,TEX,L*,5,7,10.0,26-19,2,0.5,Hearn,Abreu,,4:08,N,30445,1.43,-,2021,248
46,"Saturday, May 22",HOU,@,TEX,L,4,8,9.0,26-20,2,1.5,Allard,Scrubb,,3:24,D,38055,1.41,--,2021,204
47,"Sunday, May 23",HOU,@,TEX,L*,2,3,10.0,26-21,2,1.5,King,Pressly,,3:39,D,36444,1.44,---,2021,219
48,"Tuesday, May 25",HOU,vs,LAD,L,2,9,9.0,26-22,2,1.0,Kershaw,Greinke,,3:27,N,34443,1.31,----,2021,207
49,"Wednesday, May 26",HOU,vs,LAD,W,5,2,9.0,27-22,2,1.0,Garcia,Bauer,Abreu,3:05,N,30939,1.24,+,2021,185
50,"Friday, May 28",HOU,vs,SDP,L,3,10,11.0,27-23,2,2.5,Melancon,Raley,,4:43,N,32045,1.27,-,2021,283
51,"Saturday, May 29",HOU,vs,SDP,L,8,11,12.0,27-24,2,2.5,Adams,Garza,Díaz,5:08,D,31323,1.22,--,2021,308
52,"Sunday, May 30",HOU,vs,SDP,W,7,4,9.0,28-24,2,1.5,Greinke,Snell,,2:47,D,29019,1.23,+,2021,167
53,"Monday, May 31",HOU,vs,BOS,W,11,2,9.0,29-24,2,0.5,Urquidy,Rodriguez,,3:15,D,28543,1.31,++,2021,195
54,"Tuesday, Jun 1",HOU,vs,BOS,W,5,1,9.0,30-24,2,0.5,Garcia,Richards,,3:23,N,23449,1.34,+++,2021,203
55,"Wednesday, Jun 2",HOU,vs,BOS,W,2,1,9.0,31-24,2,0.5,Valdez,Pivetta,Pressly,2:57,N,22664,1.36,++++,2021,177
56,"Thursday, Jun 3",HOU,vs,BOS,L,1,5,9.0,31-25,2,1.0,Pérez,Odorizzi,,3:07,D,24853,1.39,-,2021,187
57,"Friday, Jun 4",HOU,@,TOR,W,13,1,9.0,32-25,2,1.0,Greinke,Ryu,,2:58,N,5510,1.35,+,2021,178
58,"Saturday, Jun 5",HOU,@,TOR,L,2,6,9.0,32-26,2,2.0,Stripling,Urquidy,,2:50,D,5327,1.42,-,2021,170
59,"Sunday, Jun 6",HOU,@,TOR,W,6,3,9.0,33-26,2,1.0,Garcia,Matz,Pressly,3:32,D,5404,1.38,+,2021,212
60,"Tuesday, Jun 8",HOU,@,BOS,W,7,1,9.0,34-26,2,1.0,Valdez,Pérez,,3:28,N,23604,1.42,++,2021,208
61,"Wednesday, Jun 9",HOU,@,BOS,W,8,3,9.0,35-26,2,1.0,Odorizzi,Eovaldi,Javier,3:07,N,21007,1.44,+++,2021,187
62,"Thursday, Jun 10",HOU,@,BOS,L,8,12,9.0,35-27,2,1.0,Hernández,Taylor,,3:47,N,23378,1.44,-,2021,227
63,"Friday, Jun 11",HOU,@,MIN,W,6,4,9.0,36-27,2,1.0,Stanek,Shoemaker,Pressly,2:58,N,17223,1.37,+,2021,178
64,"Saturday, Jun 12",HOU,@,MIN,L,2,5,9.0,36-28,2,2.0,Berríos,Garcia,Rogers,3:20,N,18767,1.38,-,2021,200
65,"Sunday, Jun 13",HOU,@,MIN,W,14,3,9.0,37-28,2,2.0,Valdez,Pineda,,3:11,D,19147,1.38,+,2021,191
66,"Tuesday, Jun 15",HOU,vs,TEX,W*,6,3,10.0,38-28,2,2.5,Pressly,Evans,,3:34,N,26379,1.37,++,2021,214
67,"Wednesday, Jun 16",HOU,vs,TEX,W,8,4,9.0,39-28,2,2.5,Greinke,Lyles,,3:01,N,22735,1.38,+++,2021,181
68,"Thursday, Jun 17",HOU,vs,CHW,W,10,2,9.0,40-28,2,2.0,Urquidy,Cease,,2:45,N,21795,1.39,++++,2021,165
69,"Friday, Jun 18",HOU,vs,CHW,W*,2,1,9.0,41-28,2,2.0,Pressly,Crochet,,2:46,N,30898,1.46,+++++,2021,166
70,"Saturday, Jun 19",HOU,vs,CHW,W,7,3,9.0,42-28,2,1.0,Valdez,Lynn,,3:10,N,35210,1.44,++++++,2021,190
71,"Sunday, Jun 20",HOU,vs,CHW,W,8,2,9.0,43-28,1,Tied,McCullers,Keuchel,,3:18,D,39821,1.45,+++++++,2021,198
72,"Monday, Jun 21",HOU,@,BAL,W,10,2,9.0,44-28,1,+ 1.0,Odorizzi,Akin,,3:40,N,7414,1.42,++++++++,2021,220
73,"Tuesday, Jun 22",HOU,@,BAL,W,3,1,9.0,45-28,1,+ 1.0,Greinke,López,Pressly,2:55,N,8510,1.39,+++++++++,2021,175
74,"Wednesday, Jun 23",HOU,@,BAL,W,13,0,9.0,46-28,1,+ 2.0,Urquidy,Eshelman,,2:46,N,10013,1.32,++++++++++,2021,166
75,"Thursday, Jun 24",HOU,@,DET,W,12,3,9.0,47-28,1,+ 2.0,Garcia,Ureña,,3:52,N,12656,1.27,+++++++++++,2021,232
76,"Saturday, Jun 26(1)",HOU,@,DET,L,1,3,7.0,47-29,1,+ 3.0,Mize,Valdez,Cisnero,2:06,D,12422,1.25,-,2021,126
77,"Saturday, Jun 26(2)",HOU,@,DET,W,3,2,7.0,48-29,1,+ 3.0,McCullers,Fulmer,Pressly,2:21,N,13950,1.32,+,2021,141
78,"Sunday, Jun 27",HOU,@,DET,L*,1,2,10.0,48-30,1,+ 2.0,Soto,Taylor,,3:29,D,13532,1.28,-,2021,209
79,"Monday, Jun 28",HOU,vs,BAL,L,7,9,9.0,48-31,1,+ 1.5,Fry,Bielak,Plutko,4:19,N,24419,1.31,--,2021,259
80,"Tuesday, Jun 29",HOU,vs,BAL,L,3,13,9.0,48-32,1,+ 1.5,Wells,Garza,Tate,3:53,N,30346,1.39,---,2021,233
81,"Wednesday, Jun 30",HOU,vs,BAL,L,2,5,9.0,48-33,1,+ 0.5,Scott,Garcia,Sulser,3:34,N,28124,1.45,----,2021,214
82,"Thursday, Jul 1",HOU,@,CLE,W,7,2,9.0,49-33,1,+ 1.5,Valdez,Mejía,,3:04,N,13772,1.55,+,2021,184
83,"Friday, Jul 2",HOU,@,CLE,W,6,3,9.0,50-33,1,+ 2.5,McCullers,Hentges,Pressly,3:29,N,24337,1.52,++,2021,209
84,"Saturday, Jul 3",HOU,@,CLE,W,3,2,9.0,51-33,1,+ 2.5,Odorizzi,Morgan,Pressly,3:24,N,24961,1.42,+++,2021,204
85,"Sunday, Jul 4",HOU,@,CLE,W,4,3,10.0,52-33,1,+ 3.5,Taylor,Clase,Raley,3:16,D,17412,1.35,++++,2021,196
86,"Tuesday, Jul 6",HOU,vs,OAK,W,9,6,9.0,53-33,1,+ 4.5,Abreu,Wendelken,Pressly,3:15,N,26353,1.73,+++++,2021,195
87,"Wednesday, Jul 7",HOU,vs,OAK,W,4,3,9.0,54-33,1,+ 5.5,Taylor,Manaea,Pressly,2:58,N,21150,1.60,++++++,2021,178
88,"Thursday, Jul 8",HOU,vs,OAK,L,1,2,9.0,54-34,1,+ 4.5,Montas,McCullers,Diekman,2:52,D,29243,1.49,-,2021,172
89,"Friday, Jul 9",HOU,vs,NYY,L,0,4,9.0,54-35,1,+ 4.5,Luetge,Odorizzi,,3:14,N,40857,1.27,--,2021,194
90,"Saturday, Jul 10",HOU,vs,NYY,L,0,1,9.0,54-36,1,+ 3.5,Cole,Greinke,,3:00,N,41259,1.33,---,2021,180
91,"Sunday, Jul 11",HOU,vs,NYY,W*,8,7,9.0,55-36,1,+ 3.5,Garza,Green,,3:38,D,37928,1.44,+,2021,218
92,"Friday, Jul 16",HOU,@,CHW,W,7,1,9.0,56-36,1,+ 3.5,McCullers,Cease,,3:07,N,34516,1.41,++,2021,187
93,"Saturday, Jul 17",HOU,@,CHW,L,1,10,9.0,56-37,1,+ 3.5,Giolito,Odorizzi,,2:51,N,34304,1.31,-,2021,171
94,"Sunday, Jul 18",HOU,@,CHW,L,0,4,9.0,56-38,1,+ 3.5,Rodón,Valdez,,2:28,D,34148,1.34,--,2021,148
95,"Monday, Jul 19",HOU,vs,CLE,W,4,3,9.0,57-38,1,+ 3.5,Greinke,Mejía,Pressly,3:25,N,21963,1.49,+,2021,205
96,"Tuesday, Jul 20",HOU,vs,CLE,W,9,3,9.0,58-38,1,+ 3.5,Garcia,McKenzie,,3:13,N,26586,1.35,++,2021,193
97,"Wednesday, Jul 21",HOU,vs,CLE,L,4,5,9.0,58-39,1,+ 3.0,Shaw,Pruitt,Karinchak,3:07,N,21712,1.39,-,2021,187
98,"Friday, Jul 23",HOU,vs,TEX,W,7,3,9.0,59-39,1,+ 3.5,Bielak,Allard,,3:15,N,38853,1.38,+,2021,195
99,"Saturday, Jul 24",HOU,vs,TEX,W,4,1,9.0,60-39,1,+ 4.5,Valdez,Gibson,,3:10,N,37050,1.30,++,2021,190
100,"Sunday, Jul 25",HOU,vs,TEX,W,3,1,9.0,61-39,1,+ 5.5,Greinke,Santana,Pressly,2:59,D,35627,1.20,+++,2021,179
101,"Monday, Jul 26",HOU,@,SEA,L,8,11,9.0,61-40,1,+ 5.0,Graveman,Stanek,Sewald,3:54,N,15162,1.48,-,2021,234
102,"Tuesday, Jul 27",HOU,@,SEA,W,8,6,9.0,62-40,1,+ 6.0,McCullers,Flexen,,3:26,N,18930,1.67,+,2021,206
103,"Wednesday, Jul 28",HOU,@,SEA,W,11,4,9.0,63-40,1,+ 6.0,Odorizzi,Kikuchi,,4:14,D,18908,1.37,++,2021,254
104,"Friday, Jul 30",HOU,@,SFG,W,9,6,9.0,64-40,1,+ 5.5,Valdez,Gausman,,3:58,N,28020,1.11,+++,2021,238
105,"Saturday, Jul 31",HOU,@,SFG,L,6,8,9.0,64-41,1,+ 5.5,Jackson,Taylor,McGee,3:11,D,27324,.99,-,2021,191
106,"Sunday, Aug 1",HOU,@,SFG,L,3,5,9.0,64-42,1,+ 4.5,Webb,Garcia,McGee,3:01,D,29655,1.09,--,2021,181
107,"Tuesday, Aug 3",HOU,@,LAD,W,3,0,9.0,65-42,1,+ 5.5,McCullers,Buehler,Stanek,3:23,N,52692,1.17,+,2021,203
108,"Wednesday, Aug 4",HOU,@,LAD,L,5,7,9.0,65-43,1,+ 4.5,Scherzer,Odorizzi,,3:10,N,52724,1.03,-,2021,190
109,"Thursday, Aug 5",HOU,vs,MIN,L,3,5,9.0,65-44,1,+ 4.0,Jax,Valdez,Colomé,3:14,N,26208,1.24,--,2021,194
110,"Friday, Aug 6",HOU,vs,MIN,L,4,5,11.0,65-45,1,+ 3.0,Minaya,Montero,,3:54,N,29631,1.33,---,2021,234
111,"Saturday, Aug 7",HOU,vs,MIN,W,4,0,9.0,66-45,1,+ 3.0,Garcia,Pineda,,2:55,N,29647,1.48,+,2021,175
112,"Sunday, Aug 8",HOU,vs,MIN,L,5,7,9.0,66-46,1,+ 2.0,Maeda,McCullers,Colomé,4:07,D,26825,1.42,-,2021,247
113,"Tuesday, Aug 10",HOU,vs,COL,W,5,0,9.0,67-46,1,+ 2.0,Odorizzi,Gray,,3:28,N,28931,1.56,+,2021,208
114,"Wednesday, Aug 11",HOU,vs,COL,W,5,1,9.0,68-46,1,+ 2.0,Valdez,Senzatela,,3:04,D,22200,1.45,++,2021,184
115,"Friday, Aug 13",HOU,@,LAA,W,4,1,9.0,69-46,1,+ 2.5,Greinke,Sandoval,Pressly,2:51,N,23981,1.49,+++,2021,171
116,"Saturday, Aug 14",HOU,@,LAA,W,8,2,9.0,70-46,1,+ 2.5,Garcia,Barria,,3:35,N,27121,1.36,++++,2021,215
117,"Sunday, Aug 15",HOU,@,LAA,L,1,3,9.0,70-47,1,+ 2.5,Detmers,McCullers,Iglesias,3:02,D,19281,1.31,-,2021,182
118,"Monday, Aug 16",HOU,@,KCR,L,6,7,9.0,70-48,1,+ 2.5,Barlow,García,,3:06,N,10228,1.41,--,2021,186
119,"Tuesday, Aug 17",HOU,@,KCR,L,1,3,9.0,70-49,1,+ 2.5,Lynch,Valdez,Brentz,2:45,N,9748,1.52,---,2021,165
120,"Wednesday, Aug 18",HOU,@,KCR,L,2,3,9.0,70-50,1,+ 2.5,Tapia,Taylor,Barlow,2:49,N,12278,1.62,----,2021,169
121,"Thursday, Aug 19",HOU,@,KCR,W,6,3,10.0,71-50,1,+ 2.5,Pressly,Davis,Javier,3:48,D,9884,1.68,+,2021,228
122,"Friday, Aug 20",HOU,vs,SEA,W,12,3,9.0,72-50,1,+ 2.5,McCullers,Kikuchi,,3:05,N,26899,1.98,++,2021,185
123,"Saturday, Aug 21",HOU,vs,SEA,W,15,1,9.0,73-50,1,+ 3.5,Odorizzi,Gilbert,,3:22,D,29908,1.88,+++,2021,202
124,"Sunday, Aug 22",HOU,vs,SEA,L,3,6,11.0,73-51,1,+ 3.5,Sewald,Stanek,Ramirez,3:58,D,27526,1.61,-,2021,238
125,"Monday, Aug 23",HOU,vs,KCR,L,1,7,9.0,73-52,1,+ 3.5,Lynch,Greinke,,3:35,N,18742,1.55,--,2021,215
126,"Tuesday, Aug 24",HOU,vs,KCR,W,4,0,9.0,74-52,1,+ 4.5,Garcia,Singer,,3:21,N,22964,1.65,+,2021,201
127,"Wednesday, Aug 25",HOU,vs,KCR,W*,6,5,10.0,75-52,1,+ 5.0,Graveman,Payamps,,3:45,D,21052,1.56,++,2021,225
128,"Friday, Aug 27",HOU,@,TEX,W,5,4,9.0,76-52,1,+ 6.5,Maton,Martin,Pressly,3:15,N,29286,1.21,+++,2021,195
129,"Saturday, Aug 28",HOU,@,TEX,W,5,2,9.0,77-52,1,+ 6.5,Valdez,Allard,Pressly,2:48,N,37810,.95,++++,2021,168
130,"Sunday, Aug 29",HOU,@,TEX,L,2,13,9.0,77-53,1,+ 5.5,Hearn,Greinke,,3:12,D,31062,.83,-,2021,192
131,"Monday, Aug 30",HOU,@,SEA,W,4,3,9.0,78-53,1,+ 6.0,Maton,Smith,Pressly,3:35,N,11630,1.28,+,2021,215
132,"Tuesday, Aug 31",HOU,@,SEA,L,0,4,9.0,78-54,1,+ 5.0,Sewald,Graveman,,3:13,N,10452,.96,-,2021,193
133,"Wednesday, Sep 1",HOU,@,SEA,L,0,1,9.0,78-55,1,+ 5.0,Sheffield,Odorizzi,Sewald,3:17,D,10519,1.18,--,2021,197
134,"Friday, Sep 3",HOU,@,SDP,W,6,3,9.0,79-55,1,+ 5.5,Taylor,Pagán,Pressly,3:37,N,37033,1.29,+,2021,217
135,"Saturday, Sep 4",HOU,@,SDP,L,2,10,9.0,79-56,1,+ 5.5,Musgrove,Valdez,,3:21,N,35338,1.12,-,2021,201
136,"Sunday, Sep 5",HOU,@,SDP,L*,3,4,9.0,79-57,1,+ 4.5,Melancon,Stanek,,2:58,D,35007,1.24,--,2021,178
137,"Monday, Sep 6",HOU,vs,SEA,W,11,2,9.0,80-57,1,+ 5.5,McCullers,Kikuchi,Bielak,3:23,N,25802,2.08,+,2021,203
138,"Tuesday, Sep 7",HOU,vs,SEA,W*,5,4,10.0,81-57,1,+ 6.5,Stanek,Ramirez,,3:29,N,20353,1.56,++,2021,209
139,"Wednesday, Sep 8",HOU,vs,SEA,L,5,8,9.0,81-58,1,+ 5.5,Castillo,Pressly,,3:46,D,19089,.96,-,2021,226
140,"Friday, Sep 10",HOU,vs,LAA,W,10,5,9.0,82-58,1,+ 5.5,Valdez,Ohtani,,3:37,N,28740,1.12,+,2021,217
141,"Saturday, Sep 11",HOU,vs,LAA,L,2,4,9.0,82-59,1,+ 5.5,Suarez,Garcia,Iglesias,3:42,N,31547,1.04,-,2021,222
142,"Sunday, Sep 12",HOU,vs,LAA,W,3,1,9.0,83-59,1,+ 6.5,McCullers,Quijada,Pressly,3:19,D,28763,1.15,+,2021,199
143,"Monday, Sep 13",HOU,@,TEX,W,15,1,9.0,84-59,1,+ 6.5,Javier,Howard,,3:53,N,18903,.72,++,2021,233
144,"Tuesday, Sep 14",HOU,@,TEX,L,1,8,9.0,84-60,1,+ 6.5,Lyles,Greinke,,2:45,N,19451,.57,-,2021,165
145,"Wednesday, Sep 15",HOU,@,TEX,W,7,2,9.0,85-60,1,+ 7.0,Urquidy,Arihara,,2:56,N,20991,.57,+,2021,176
146,"Thursday, Sep 16",HOU,@,TEX,W,12,1,9.0,86-60,1,+ 7.0,Garcia,Otto,,3:28,N,19121,.41,++,2021,208
147,"Friday, Sep 17",HOU,vs,ARI,W*,4,3,10.0,87-60,1,+ 7.0,Stanek,Clippard,,3:40,N,22595,.34,+++,2021,220
148,"Saturday, Sep 18",HOU,vs,ARI,L,4,6,10.0,87-61,1,+ 6.0,Wendelken,García,Clippard,3:44,N,25314,.36,-,2021,224
149,"Sunday, Sep 19",HOU,vs,ARI,W,7,6,9.0,88-61,1,+ 6.0,Solomon,Sittinger,Pressly,3:17,D,23888,.53,+,2021,197
150,"Monday, Sep 20",HOU,@,LAA,W,10,0,9.0,89-61,1,+ 7.0,Valdez,Barria,,3:12,N,16070,.47,++,2021,192
151,"Tuesday, Sep 21",HOU,@,LAA,W,10,5,9.0,90-61,1,+ 8.0,Urquidy,Naughton,,3:08,N,18332,.22,+++,2021,188
152,"Wednesday, Sep 22",HOU,@,LAA,W,9,5,12.0,91-61,1,+ 8.0,García,Selman,,4:18,N,14863,.14,++++,2021,258
153,"Thursday, Sep 23",HOU,@,LAA,L,2,3,9.0,91-62,1,+ 7.0,Warren,McCullers,Iglesias,3:18,N,19829,,-,2021,198
154,"Friday, Sep 24",HOU,@,OAK,L,2,14,9.0,91-63,1,+ 6.0,Montas,Bielak,,3:46,N,21105,.11,--,2021,226
155,"Saturday, Sep 25",HOU,@,OAK,L*,1,2,9.0,91-64,1,+ 6.0,Chafin,Pressly,,2:49,D,13037,.12,---,2021,169
156,"Sunday, Sep 26",HOU,@,OAK,L*,3,4,9.0,91-65,1,+ 5.0,Trivino,Stanek,,3:37,D,12288,.09,----,2021,217
157,"Tuesday, Sep 28",HOU,vs,TBR,W*,4,3,9.0,92-65,1,+ 4.5,Maton,Fleming,,2:59,N,32297,.16,+,2021,179
158,"Wednesday, Sep 29",HOU,vs,TBR,L,0,7,9.0,92-66,1,+ 3.5,Rasmussen,Garcia,,3:04,N,28321,.13,-,2021,184
159,"Thursday, Sep 30",HOU,vs,TBR,W,3,2,9.0,93-66,1,+ 4.0,McCullers,Yarbrough,Pressly,3:00,N,31608,.32,+,2021,180
160,"Friday, Oct 1",HOU,vs,OAK,L,6,8,9.0,93-67,1,+ 4.0,Manaea,Valdez,Trivino,3:54,N,26762,.12,-,2021,234
161,"Saturday, Oct 2",HOU,vs,OAK,W,10,4,9.0,94-67,1,+ 4.0,Maton,Blackburn,,3:48,N,29208,.32,+,2021,228
162,"Sunday, Oct 3",HOU,vs,OAK,W*,7,6,9.0,95-67,1,+ 5.0,Taylor,Trivino,,2:52,D,29752,.37,++,2021,172
1,"Friday, Jul 24",HOU,vs,SEA,W,8,2,9.0,1-0,1,Tied,Verlander,Gonzales,,2:49,N,,1.17,+,2020,169
2,"Saturday, Jul 25",HOU,vs,SEA,W,7,2,9.0,2-0,1,+ 1.0,McCullers,Walker,,2:53,D,,1.19,++,2020,173
3,"Sunday, Jul 26",HOU,vs,SEA,L,6,7,9.0,2-1,1,Tied,Altavilla,Devenski,Williams,3:41,D,,1.20,-,2020,221
4,"Monday, Jul 27",HOU,vs,SEA,W,8,5,9.0,3-1,1,Tied,Bielak,Graveman,Osuna,3:04,N,,1.19,+,2020,184
5,"Tuesday, Jul 28",HOU,vs,LAD,L,2,5,9.0,3-2,1,Tied,Kolarek,Valdez,Jansen,3:19,N,,1.09,-,2020,199
6,"Wednesday, Jul 29",HOU,vs,LAD,L,2,4,13.0,3-3,1,Tied,Santana,Sneed,,4:44,N,,1.09,--,2020,284
7,"Friday, Jul 31",HOU,@,LAA,W,9,6,9.0,4-3,1,+ 0.5,Bielak,Andriese,Scrubb,4:21,N,,1.22,+,2020,261
8,"Saturday, Aug 1",HOU,@,LAA,L*,4,5,10.0,4-4,1,Tied,Buchter,Rodriguez,,3:58,D,,1.25,-,2020,238
9,"Sunday, Aug 2",HOU,@,LAA,W,6,5,11.0,5-4,1,Tied,Taylor,Barnes,,4:37,D,,1.26,+,2020,277
10,"Tuesday, Aug 4",HOU,@,ARI,W,8,2,9.0,6-4,2,0.5,Javier,Bumgarner,,3:09,N,,1.10,++,2020,189
11,"Wednesday, Aug 5",HOU,@,ARI,L,7,14,9.0,6-5,2,1.5,Ray,McCullers,,3:14,N,,1.12,-,2020,194
12,"Thursday, Aug 6",HOU,@,ARI,L*,4,5,9.0,6-6,2,2.5,Guerra,Pressly,,3:15,D,,1.11,--,2020,195
13,"Friday, Aug 7",HOU,@,OAK,L*,2,3,13.0,6-7,2,3.5,Wendelken,Sneed,,4:13,N,,1.29,---,2020,253
14,"Saturday, Aug 8",HOU,@,OAK,L,1,3,9.0,6-8,2,4.5,Montas,Valdez,Hendriks,2:24,D,,1.27,----,2020,144
15,"Sunday, Aug 9",HOU,@,OAK,L,2,7,9.0,6-9,3,5.5,Luzardo,Javier,Smith,2:58,D,,1.22,-----,2020,178
16,"Monday, Aug 10",HOU,vs,SFG,W,6,4,9.0,7-9,2,4.5,McCullers,Webb,Pressly,3:07,N,,1.07,+,2020,187
17,"Tuesday, Aug 11",HOU,vs,SFG,L,6,7,10.0,7-10,3,4.5,Gott,Sneed,Rogers,3:52,N,,1.12,-,2020,232
18,"Wednesday, Aug 12",HOU,vs,SFG,W,5,1,9.0,8-10,3,4.5,Greinke,Baragar,,3:25,N,,1.08,+,2020,205
19,"Friday, Aug 14",HOU,vs,SEA,W,11,1,9.0,9-10,3,4.5,Valdez,Cortes,,3:10,N,,1.25,++,2020,190
20,"Saturday, Aug 15",HOU,vs,SEA,W,2,1,9.0,10-10,3,4.5,Javier,Margevicius,Pressly,2:30,N,,1.28,+++,2020,150
21,"Sunday, Aug 16",HOU,vs,SEA,W*,3,2,9.0,11-10,2,4.5,Pressly,Swanson,,2:56,D,,1.27,++++,2020,176
22,"Monday, Aug 17",HOU,vs,COL,W,2,1,9.0,12-10,2,3.5,Bielak,Freeland,Taylor,2:50,N,,1.18,+++++,2020,170
23,"Tuesday, Aug 18",HOU,vs,COL,W*,2,1,11.0,13-10,2,2.5,Scrubb,Díaz,,3:03,D,,1.16,++++++,2020,183
24,"Wednesday, Aug 19",HOU,@,COL,W,13,6,9.0,14-10,2,2.5,Valdez,Castellani,,3:09,N,,1.09,+++++++,2020,189
25,"Thursday, Aug 20",HOU,@,COL,W,10,8,9.0,15-10,2,2.5,Paredes,Márquez,Pressly,3:31,D,,1.01,++++++++,2020,211
26,"Friday, Aug 21",HOU,@,SDP,L,3,4,9.0,15-11,2,3.5,Guerra,McCullers,Pagán,3:41,N,,.93,-,2020,221
27,"Saturday, Aug 22",HOU,@,SDP,L,2,13,9.0,15-12,2,3.5,Davies,Bielak,,2:41,N,,.92,--,2020,161
28,"Sunday, Aug 23",HOU,@,SDP,L,3,5,9.0,15-13,2,4.5,Stammen,Paredes,Pagán,3:04,D,,.98,---,2020,184
29,"Monday, Aug 24",HOU,vs,LAA,W,11,4,9.0,16-13,2,3.5,Valdez,Sandoval,,3:25,N,,1.10,+,2020,205
30,"Tuesday, Aug 25(1)",HOU,vs,LAA,W,6,3,7.0,17-13,2,4.0,Javier,Suarez,Pressly,2:26,D,,1.07,++,2020,146
31,"Tuesday, Aug 25(2)",HOU,vs,LAA,L,5,12,7.0,17-14,2,4.0,Peña,Bielak,,3:24,N,,.97,-,2020,204
32,"Saturday, Aug 29(1)",HOU,vs,OAK,W,4,2,7.0,18-14,2,2.5,McCullers,Bassitt,Pressly,2:07,D,,1.05,+,2020,127
33,"Saturday, Aug 29(2)",HOU,vs,OAK,W,6,3,7.0,19-14,2,2.5,Greinke,Montas,Pressly,2:33,N,,1.01,++,2020,153
34,"Tuesday, Sep 1",HOU,vs,TEX,L,5,6,10.0,19-15,2,3.0,Hernández,Taylor,Montero,3:28,N,,.93,-,2020,208
35,"Wednesday, Sep 2",HOU,vs,TEX,W,2,1,9.0,20-15,2,2.5,Javier,Allard,Pressly,2:27,N,,1.09,+,2020,147
36,"Thursday, Sep 3",HOU,vs,TEX,W,8,4,9.0,21-15,2,2.0,Greinke,Lynn,,3:11,D,,.91,++,2020,191
37,"Friday, Sep 4",HOU,@,LAA,L*,5,6,11.0,21-16,2,2.0,Andriese,Raley,,4:27,N,,.71,-,2020,267
38,"Saturday, Sep 5(1)",HOU,@,LAA,L*,9,10,7.0,21-17,2,3.5,Peña,Paredes,,3:01,D,,.80,--,2020,181
39,"Saturday, Sep 5(2)",HOU,@,LAA,L,6,7,7.0,21-18,2,3.5,Ramirez,Castellanos,Buttrey,2:44,N,,.89,---,2020,164
40,"Sunday, Sep 6",HOU,@,LAA,L,5,9,9.0,21-19,2,3.5,Mayers,Valdez,,3:28,D,,1.01,----,2020,208
41,"Monday, Sep 7",HOU,@,OAK,L,0,6,9.0,21-20,2,4.5,Bassitt,Javier,,2:55,N,,1.25,-----,2020,175
42,"Tuesday, Sep 8(1)",HOU,@,OAK,L,2,4,7.0,21-21,2,4.5,Montas,Greinke,Hendriks,2:23,D,,1.36,------,2020,143
43,"Tuesday, Sep 8(2)",HOU,@,OAK,W,5,4,7.0,22-21,2,4.5,Paredes,Wendelken,Pressly,2:52,N,,1.36,+,2020,172
44,"Wednesday, Sep 9",HOU,@,OAK,L*,2,3,9.0,22-22,2,5.5,Hendriks,Pressly,,2:53,N,,1.27,-,2020,173
45,"Thursday, Sep 10",HOU,@,OAK,L,1,3,9.0,22-23,2,6.5,Manaea,Urquidy,Hendriks,2:18,D,,1.20,--,2020,138
46,"Saturday, Sep 12",HOU,@,LAD,W,7,5,9.0,23-23,2,6.5,James,Jansen,Pressly,3:15,N,,1.11,+,2020,195
47,"Sunday, Sep 13",HOU,@,LAD,L,1,8,9.0,23-24,2,6.5,González,Greinke,,2:52,N,,1.09,-,2020,172
48,"Tuesday, Sep 15",HOU,vs,TEX,W,4,1,9.0,24-24,2,5.5,Urquidy,Goody,Pressly,3:00,N,,1.40,+,2020,180
